id,ecode,ingredient_name,category,id_status,desc
1,E100,"Curcumin, turmeric",Colouring,1,"Turmeric when used as a food additive is used in product systems that are packaged to protect them from sunlight. Turmeric has found application in canned beverages, baked products, dairy products, ice cream, yogurts, yellow cakes, biscuits, popcorn-color, sweets, cake icings, cereals, sauces, gelatines, direct compression tablets, etc. Turmeric, a representative of plant genus Curcuma, is a member of the ginger family, Zingiberaceae hence halal."
2,E101,Riboflavin (Vitamin B2),Colouring,1,"Riboflavin formerly called lactoflavin (Vitamin G) is yellow or orange-yellow in colour and in addition to being used as a food Colouring. It is also used to fortify some foods. It can be found in baby foods, breakfast cereals, sauces, processed cheese, fruit drinks and vitamin-enriched milk products as well as being widely used in vitamin supplements. Usually the source is synthetic."
3,E101a,Riboflavin-5'-Phosphate,Colouring,1,It is used as a food dye and is likely to be derived from genetically modified organisms.
4,E102,Tartrazine,Colouring,1,"A synthetic yellow azo dye found in fruit squash, fruit cordial, coloured fizzy drinks, instant puddings, cake mixes, custard powder, soups, sauces, ice cream, sweets, chewing gum, marzipan, jam, jelly, mustard, yoghurt and many convenience foods together with glycerine, lemon and honey products. It can also be found in the shells of medicinal capsules. It appears to cause the most allergic and/or intolerance reactions of all the azo dyes, particularly amongst those with an aspirin intolerance and asthmatics. Not recommended for consumption by children. Its use is banned in Norway and Austria."
5,E103,Chrysoine Resorcinol,Colouring,1,"It is a colourant which is used as a food additive. In Europe, it was assigned to the E number E103 until it was banned in 1984."
6,E104,Quinoline Yellow,Colouring,1,Quinoline Yellow is a yellow/lime green dye. It is halal in its 100% dry form. In liquid form the solvent must be halal.
7,E105,Fast Yellow AB,Colouring,1,"This E-number of a food dye, is now forbidden in Europe and USA."
8,E106,Riboflavin-5-Sodium Phosphate,Colouring,1,It is used in foods as a yellow food dye. It is a sodium salt of riboflavin-5'-phosphate.
9,E107,Yellow 2G,Colouring,1,"It is a synthetic coal tar and yellow azo dye. It appears to cause allergic or intolerance reactions, particularly amongst those with an aspirin intolerance and asthma sufferers. Currently only the UK in the European Union uses this dye and the EU is proposing a total ban. Its use is banned in Austria, Japan, Norway, Sweden, Switzerland and the United States."
10,E110,"Sunset Yellow FCF, Orange Yellow S",Colouring,1,"It is a synthetic coal tar and azo yellow dye useful in fermented foods which must be heat treated. It may be found in orange squash, orange jelly, marzipan, Swiss roll, apricot jam, citrus marmalade, lemon curd, sweets, hot chocolate mix and packet soups, trifle mix, breadcrumbs and cheese sauce mix and soft drinks. It appears to cause allergic or intolerance reactions, particularly amongst those with an aspirin intolerance. It is banned in Norway."
11,E111,Orange GGN,Colouring,3,"It is also known as alpha-naphthol orange. It is currently delisted in Europe and USA, as toxicological data shown it is harmful."
12,E120,"Cochineal, Carminic acid, Carmines",Colouring,2,"Colourant, made from crushed insects. This popular colorant is used to impart a deep red shade to fruit juices, gelatins, candies (e. g. red smarties), shampoos. When used as a food additive, the dye must be labelled on packaging labels. Sometimes carmine is labelled as E120. An unknown percentage of people have been found to have allergies to carmine. Natural carmine dye used in food and cosmetics is unacceptable for Muslims because the dye is extracted from insects."
13,E121,"Orcein, Orchil",Colouring,3,Orcein is a reddish-brown dye obtained from orcinol (a crystaline compound derived from the lichen) by the action of aqueous ammonia and air. Orchil is a purple/blue dye. They are banned throughout the EC.
14,E122,"Carmoisine, Azorubine",Colouring,1,"It is found in blancmange, marzipan, Swiss roll, jams and preserves, sweets, brown sauce, flavoured yogurts and packet soups, jellies, breadcrumbs and cheesecake mixes. It appears to cause allergic and/or intolerance reactions. Whilst being a commonly used colour in the UK its use is banned in Japan, Norway, Sweden and the United States."
15,E123,Amaranth,Colouring,1,"A purplish-red (blackcurrant) synthetic coal tar or azo dye found in ice creams, gravy granules, jams, jelly, tinned fruit pie fillings and prawns and packeted cake mixes, soups and trifles. It appears to cause allergic and/or intolerance reactions. It is banned in Norway and the United States with a very restricted use in France and Italy (caviar only)."
16,E124,"Ponceau 4R, Cochineal Red A, Brilliant Scarlet 4R",Colouring,1,"A red synthetic coal tar or azo dye found in dessert toppings, jelly, salami, seafood dressings, tinned strawberries and fruit pie fillings and packeted cake mixes, cheesecakes, soups and trifles. It appears to cause allergic and/or intolerance reactions particularly amongst those with an aspirin intolerance or asthmatics. It is banned in Norway and the United States."
17,E125,Scarlet,Colouring,3,A red azo dye used as a food dye. It usually comes as a disodium salt. It is permitted in fruit peels and maraschino cherries.
18,E126,Ponceau 6R,Colouring,3,Red coloured food dye. Very little is known about this dye.
19,E127,Erythrosine,Colouring,1,"A cherry-pink/red synthetic coal tar dye found in cocktail, glace and tinned cherries, biscuits, chocolate, dressed crab, garlic sausage, luncheon meat, salmon spread and pate, scotch eggs, stuffed olives and packet trifle mix. It is also used to reveal plaque in dental disclosing tablets. It is banned in Norway and the United States."
20,E128,Red 2G,Colouring,1,"A red synthetic coal tar or azo dye found mainly in cooked meat products and sausages but can also be found in jams and drinks. Concerns that it can interfere with blood haemoglobin. Britain is the only European Union country to use Red 2G and it is also banned in Australia, Austria, Canada, Japan, Norway, Sweden and the United States."
21,E129,Allura Red AC,Colouring,1,"A red synthetic azo dye to replace Amaranth, E123, in the United States of America where E123 is prohibited. May have slightly less allergy/intolerance reaction by aspirin intolerant people and asthmatics than most of the azo dyes, although those with skin sensitivities should be careful."
22,E130,Indanthrene blue RS,Colouring,3,"Indanthrene is a blue dye, the compounds and derivatives of which are used as vat dyestuffs."
23,E131,Patent Blue V,Colouring,1,"A dark bluish-violet synthetic coal tar dye. Not widely used but can be found in Scotch eggs and is used diagnostically to colour lymph vessels. Best avoided by people with allergy reactions. Banned in Australia, USA and Norway."
24,E132,"Indigo carmine, Indigotine",Colouring,1,"A blue synthetic coal tar dye, commonly added to tablets and capsules; also used in ice cream, sweets, baked goods, confectionery, biscuits. It is also used diagnostically to check for coloured urine in kidney function tests. Banned in Norway and not recommended for consumtion by children."
25,E133,Brilliant Blue FCF,Colouring,1,"A blue synthetic coal tar dye often used in conjunction with E102, Tartrazine, to produce various shades of green. Synthetic usually occurring as aluminum lake (solution) or ammonium salt; Can be found in tinned processed peas, dairy products, sweets and drinks, Not recommended for consumption by children. Banned in Austria, Belgium, Denmark, France, Germany, Greece, Italy, Norway, Spain, Sweden and Switzerland."
26,E140,Chlorophylls and Chlorophyllins: (i) Chlorophylls (ii) Chlorophyllins,Colouring,1,"Not easy to obtain in a pure form and commercially available chloroyphyll usually contains other plant material impurities. The usual sources are nettles, spinach and grass. Can be used for dyeing waxes and oils, used in medicines and cosmetics eg in chewing gum, fats and oils, ice cream, soaps, soups, sweets and, obviously, green vegetables."
27,E141,Copper complexes of chlorophylls and chlorophyllins (i) Copper complexes of chlorophylls (ii) Copper complexes of chlorophyllins,Colouring,1,"These colours are (i) an olive green oil soluble colour and (ii) water soluble green colour. They are derived from Chlorophyll, E140, by substitution of copper for the magnesium, which increases their stability. Can be found in some types of cheese, chewing gum, ice cream, Parsley sauce, soups and green vegetables and fruits preserved in liquids."
