id,ingredient_name,ecode,id_status,desc
1,Adipic Acid,E355,1,"A Component of fat, prepared either naturally from beet juice or synthetically.It's used in baking powders instead of tartar and phosphates because of it's hygroscopic property. Studies show that natural adipic acid is better for health in the long run."
28,Agar,E406,1,"A seaweed derivative also known as agar-agar. It's a gelling agent used in the preparation of jello or jelly similar to the ones prepared from collagen which is an animal derivative. Islamically, agar is far better than collagen.It is typically sold as packaged strips of washed and dried seaweed, or in powdered form."
3,Alanine,,3,"A crystalline water-soluble non-essential amino acid. Any protein-containing food such as meat, poultry, fish, eggs or dairy products is rich in alanine.Some plants also contain alanine.It is important to determine the source of alanine."
4,Albumen,,1,"Egg white is the common name for albumen. It is often separated and used for cooking (for glairs, meringues, souffl?s, and some omelettes), whence it derives its name: when albumen is beaten or cooked it turns white."
5,Albumin,,1,"A water-soluble protein coagulated by heat, found in many animal and plant tissues, especially milk, egg white, and blood plasma."
6,Alcohol,,2,All sorts of alcohol are strictly not permissible for consumption in Islam whether it is alot (e.g. beverages) or a bit (present in food for flavourings).
7,Alpha Carotene (colouring),E160a,4,"Carotene itself is halal but Glycerince may be used as the carrier. If Halal carrier is used, it is Halal."
8,Ambergris,,1,"It is a solid, waxy, flammable substance. Ambergris occurs as a biliary secretion of the intestines of the sperm whale, and can be found floating upon the sea, or in the sand near the coast. Procedures for the microbial production of ambrox have also been devised.Its been used for medicinal, flavoring purposes and important perfume odorant."
9,Amylose,,1,"It is one of the two components of starch, the other being amylopectin.Out of the two amylose is preferred for storage in plants."
10,Anatto Extracts,E160b,1,"Yellowish red dye made from the pulp enclosing the seeds of a small tropical tree, used to color fabric and food products."
11,Anchovies,,1,"Small fish.They are a key ingredient in Caesar salad and Spaghetti alla Puttanesca, and are often used as a pizza topping. Because of the strong flavor they are also an ingredient in several sauces, including Worcestershire sauce and many fish sauces."
12,Animal Fat,,4,"Animal fats are fats obtained from animal sources, including:blubber, cod liver oil, lard (pork fat), tallow (beef fat), schmaltz(chicken fat).Lard is haram in any case.As for other sources of animal fat they must come from a zabihah animal.Fish oil is also halal."
13,Animal Shortening,,4,"Shortening is a type of fat that is solid at room temperature, and is used for making many baked foods. Animal shortening, such as lard, must be avoided.Shortening from zabihah animal is halal"
14,Animal Tissue Extract,,2,"We must consider it haram if no indication or label specifying it from a halal source (zabihah animal, fish)"
15,Antioxidants,,1,Chemical compounds used to protect certain food components from being destroyed or lost through oxidation.
16,Artificial colour,,4,"It Adds colour to the food product.In its dry powder or granular form it is halal.However liquid colours have vegetable oil or glycerin added.Glycerin of plant source is halal.Some natural food colours are as follows: Caramel coloring is found in Coca-Cola and other cola products. It is made from caramelized sugar. Annatto is a reddish-orange dye made from the seed of a tropical tree. Chlorella is green, and derived from algae. Cochineal is a red dye derived from cochineal insects."
17,Artificial Flavors,,4,Artificial Flavors are usually made from chemical and synthetic raw material. For Halal artificial flavor the synthetic raw material has to be Halal and solvent should not be alcohol.Artificial flavours made from haram raw material(e.g alcohol used as a solvent) is haram.
18,Ascorbic acid,E300,1,"Also known as Vitamin C, Ascorbic acid is a stabilizer and a colour preservative.Commercially its main source is chemical, synthetic and mineral.Naturally it is found in orange, lemon, grapefruit, lime, billy goat plum, camu camu."
19,Aspartame,E951,1,"This sweetener is marketed under a number of trademark names, such as Equal, NutraSweet, and Canderel, and is an ingredient of approximately 6, 000 consumer foods and beverages sold worldwide. It is commonly used in diet soft drinks, and is often provided as a table condiment."
20,Aspartic Acid,,3,"DL &amp; L Forms; As its name indicates, aspartic acid is the carboxylic acid analog of asparagine.Please consult the manufacturer for details.Until proven otherwise the ingrediant is mushbooh."
21,Aspic Savoury,,4,"savoury clear jelly prepared from a liquid stock made by simmering the bones of beef, veal, chicken, or fish. The aspic congeals when refrigerated by virtue of the natural gelatin that dissolves into the stock from the tendons; commercial sheet or powdered gelatin is sometimes added to ensure a stiff set. Aspic is used to coat and glaze foods such as cold meats and fish.Doubt arises where the jelly is prepared from the stock obtained from non-zabihah animal."
22,Bacon,,2,A side of pig meat (pork).
23,Beer,,2,It is an alcoholic beverage not permissible in islam whether in small quantities or large.
24,"Benzoate, Benzoic, Benzoate of soda",,1,Benzoic acid and sodium benzoate are used as food preservatives.
25,Beta Carotene,E160,4,"Provitamin A; Halal status depends on the carrier. Pork gelatin may be used as a carrier, in which case it becomes haram."
26,BHA Butylated hydroxyanisole,E320,1,Chemical preservative and an antioxidant
27,BHT Butylated hydroxyanisole,E321,1,Chemical preservative and an antioxidant. Halal if the carrier is halal
28,Bile Salts,,4,"Bile is the yellowish brown or green liquid secreted by the liver. Food industry uses bile salts whenever there is fat to be emulsified so that it can be easily digested and hydrolysed. Since the origin of bile salts is animal, one must, therefore, find out the type of animal used. If the source is pork, then, definitely, it becomes Haram."
29,Biotin Vitamin H; Vitamin B Factor,,1,"A vitamin in the B complex mainly found in egg yolk, cereals, liver, and milk and is used by the body in metabolizing fat and carbohydrates. It's Deficiency can lead to dermatitis, loss of appetite, hair loss, and anemia."
30,Biscuits,,4,Quite likely to contain animal fats unless stated otherwise (i.e. indicating suitable for vegetarians).
31,Bleaching Agents,,1,"Chemicals which through oxidation, result in whitening of various products. Most brands of flour we use today are bleached, hence the exceptionally white appearance. Nutritionally, it is better to use brown flour. This also applies to bread."
32,Bone,,4,"Used in bone china and cutlery handles. Depends if it's from a specified Halal animal source, haram otherwise."
33,Bran,,1,"A substance that forms the outer layers of grain obtained as a by-product of wet milling. Bran contains rich amount of cellulose and fibre. Important to health, it increases peristaltic movement, improves defecation and reduces cancer of the colon."
34,Breakfast cereals,,4,Can contain haram ingredients unless stated otherwise (i.e. sign indicating suitable for vegetarians).
35,Butter,,1,"Solidified milk fat, especially cow's milk, used principally as a food item. Pure butter is suitable for vegetarians."
36,Butyric Acid,,1,A short chain fatty acid found in milk.
37,Calcium carrageenan,,1,"Thickener, gelling agent, improves mouth feel. Found in AquaFresh tooth paste."
38,Calcium cyclamate,E952,1,"An artificially prepared salt of cyclamic acid, formerly used as a nonnutritive low-calorie sweetener but now banned because of possible carcinogenic effects of its metabolic products."
39,Calcium disodium EDTA,,1,"It's used in industrial cleaning, detergents, in textile industry as a bleach stabilizer and added in food as a preservative."
40,Calcium saccharin,E954,1,artificial sweetening substance
41,Calcium stearoyl lactylate,E482,4,Similar to E481 but with calcium as the added mineral instead of sodium.
42,Calcium/Sodium Caseinate,,1,"Casein mixed with a metal, like calcium caseinate or sodium caseinate. They are used as sources of protein for nutrition."
43,Capsules,,2,"Usually made from gelatine, however vegetarian alternatives are also available in pharmacies which are halal."
44,Carrageenan,E407,1,"A complex carbohydrate obtained from edible red seaweeds, used in the commercial preparation of several kinds of food and drink;Also present in several brands of tooth paste. Acts as a Gelling agent, emulsifier, thickener, stabilizer and suspending agent."
